Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Brazil,2025-05-25,Sunny,27.9,17.3,0.0,17.3,Low Precipitation (Drought Risk)
Argentina,2025-05-19,Patchy rain nearby,12.9,9.8,0.16,10.4,Low Precipitation (Drought Risk)
Argentina,2025-05-20,Sunny,15.0,8.3,0.0,7.6,Low Precipitation (Drought Risk)
Argentina,2025-05-21,Sunny,15.4,10.3,0.0,10.4,Low Precipitation (Drought Risk)
Argentina,2025-05-22,Sunny,16.0,9.3,0.0,6.5,Low Precipitation (Drought Risk)
Argentina,2025-05-23,Partly Cloudy ,16.7,11.0,0.0,12.6,Low Precipitation (Drought Risk)
Argentina,2025-05-24,Cloudy ,18.0,14.0,0.01,12.2,Low Precipitation (Drought Risk)
Argentina,2025-05-25,Sunny,20.7,13.7,0.0,7.2,Low Precipitation (Drought Risk)
Egypt,2025-05-19,Sunny,35.3,20.4,0.0,32.8,Low Precipitation (Drought Risk)
Egypt,2025-05-20,Sunny,33.3,18.7,0.0,33.5,Low Precipitation (Drought Risk)
Egypt,2025-05-21,Sunny,34.7,18.2,0.0,31.3,Low Precipitation (Drought Risk)
Egypt,2025-05-22,Sunny,35.3,18.6,0.0,27.4,Low Precipitation (Drought Risk)
Egypt,2025-05-23,Sunny,36.6,20.1,0.0,34.6,Low Precipitation (Drought Risk)
Egypt,2025-05-24,Sunny,38.8,21.6,0.0,37.8,Low Precipitation (Drought Risk)
Egypt,2025-05-25,Sunny,41.4,23.1,0.0,38.2,Low Precipitation (Drought Risk)
Colombia,2025-05-19,Moderate rain,15.5,10.3,11.75,2.9,Heavy Rain (Flooding Risk)
Colombia,2025-05-20,Patchy rain nearby,16.0,9.3,4.71,5.4,Low Precipitation (Drought Risk)
Colombia,2025-05-21,Moderate rain,14.4,8.6,5.86,5.0,No Significant Risks
Colombia,2025-05-22,Patchy rain nearby,16.3,7.9,1.2,5.0,Low Precipitation (Drought Risk)
Colombia,2025-05-23,Patchy rain nearby,14.3,10.0,1.63,5.4,Low Precipitation (Drought Risk)
Colombia,2025-05-24,Patchy rain nearby,15.1,10.1,1.55,6.5,Low Precipitation (Drought Risk)
Colombia,2025-05-25,Patchy rain nearby,13.8,10.2,1.49,6.1,Low Precipitation (Drought Risk)
Peru,2025-05-19,Partly Cloudy ,20.6,17.0,0.02,12.6,Low Precipitation (Drought Risk)
Peru,2025-05-20,Partly Cloudy ,20.5,17.0,0.06,14.0,Low Precipitation (Drought Risk)
Peru,2025-05-21,Partly Cloudy ,20.7,16.8,0.03,14.8,Low Precipitation (Drought Risk)
Peru,2025-05-22,Partly Cloudy ,20.4,16.5,0.01,11.9,Low Precipitation (Drought Risk)
Peru,2025-05-23,Partly Cloudy ,20.6,16.7,0.01,15.5,Low Precipitation (Drought Risk)
Peru,2025-05-24,Sunny,20.7,17.0,0.0,14.4,Low Precipitation (Drought Risk)
Peru,2025-05-25,Sunny,20.7,16.8,0.0,13.3,Low Precipitation (Drought Risk)
Venezuela,2025-05-19,Moderate rain,24.1,18.7,5.18,6.8,No Significant Risks
Venezuela,2025-05-20,Moderate rain,24.1,18.4,5.93,6.8,No Significant Risks
Venezuela,2025-05-21,Moderate rain,24.1,18.3,11.07,7.6,Heavy Rain (Flooding Risk)
Venezuela,2025-05-22,Patchy rain nearby,23.7,18.6,4.96,7.6,Low Precipitation (Drought Risk)
Venezuela,2025-05-23,Patchy rain nearby,25.1,18.2,3.07,6.8,Low Precipitation (Drought Risk)
Venezuela,2025-05-24,Cloudy ,26.0,18.5,0.07,6.5,Low Precipitation (Drought Risk)
Venezuela,2025-05-25,Patchy rain nearby,25.9,17.7,1.11,7.2,Low Precipitation (Drought Risk)
